index,elelment,x,y,z
70,O,4.613,5.847,6.438
71,H,4.54,5.9,6.47
72,H,4.634,5.789,6.511
73,O,3.059,2.176,9.631
74,H,2.989,2.221,9.583
75,H,3.039,2.192,9.723
76,O,6.018,6.825,10.37
77,H,6.018,6.749,10.427
78,H,6.083,6.804,10.302
79,O,4.634,6.688,9.281
80,H,4.609,6.687,9.373
81,H,4.695,6.762,9.274
82,O,4.462,4.708,5.714
83,H,4.421,4.781,5.666
84,H,4.474,4.742,5.802
85,O,5.193,1.462,7.29
86,H,5.264,1.518,7.257
87,H,5.135,1.523,7.336
88,O,6.281,0.232,9.662
89,H,6.206,0.279,9.696
90,H,6.285,0.151,9.714
91,O,0.144,3.229,7.171
92,H,0.108,3.2,7.255
93,H,0.088,3.188,7.105
94,O,7.945,5.896,10.289
95,H,7.92,5.987,10.273
96,H,8.036,5.891,10.261
97,O,0.222,4.102,6.332
98,H,0.175,4.123,6.413
99,H,0.176,4.026,6.296
100,O,6.705,3.121,11.664
101,H,6.63,3.163,11.622
102,H,6.753,3.193,11.706
103,O,7.284,6.572,6.35
104,H,7.292,6.616,6.434
105,H,7.373,6.57,6.315
106,O,7.559,3.15,4.921
107,H,7.632,3.114,4.87
108,H,7.504,3.194,4.856
109,O,1.835,1.725,9.805
110,H,1.82,1.737,9.899
111,H,1.753,1.689,9.773
112,O,5.929,3.933,10.478
113,H,5.982,3.921,10.399
114,H,5.993,3.959,10.545
115,O,8.222,3.227,10.488
116,H,8.209,3.298,10.425
117,H,8.237,3.149,10.434
118,O,1.661,2.09,10.509
119,H,1.707,2.154,10.564
120,H,1.674,2.006,10.553
121,O,0.11,1.98,11.213
122,H,0.078,2.05,11.27
123,H,0.19,2.016,11.173
124,O,3.485,5.908,6.09
125,H,3.524,5.88,6.007
126,H,3.391,5.897,6.078
127,O,7.856,5.787,5.899
128,H,7.916,5.712,5.904
129,H,7.824,5.798,5.989
130,O,2.076,2.63,5.715
131,H,2.136,2.613,5.643
132,H,2.132,2.636,5.792
133,O,5.647,2.234,8.011
134,H,5.686,2.152,8.04
135,H,5.655,2.293,8.086
136,O,7.877,2.464,11.072
137,H,7.954,2.417,11.04
138,H,7.89,2.469,11.167
139,O,3.146,1.29,11.993
140,H,3.182,1.202,11.994
141,H,3.134,1.313,12.085
142,O,6.854,0.987,10.959
143,H,6.788,1.005,10.892
144,H,6.866,1.071,11.004
145,O,0.855,1.764,6.348
146,H,0.92,1.701,6.379
147,H,0.907,1.84,6.319
148,O,2.843,2.86,5.302
149,H,2.822,2.853,5.395
150,H,2.775,2.916,5.266
151,O,2.573,7.69,7.309
152,H,2.487,7.731,7.323
153,H,2.589,7.639,7.388
154,O,4.289,3.788,6.366
155,H,4.264,3.781,6.457
156,H,4.237,3.721,6.321
157,O,5.254,2.445,5.957
158,H,5.289,2.505,5.891
159,H,5.177,2.405,5.916
160,O,7.292,2.291,7.247
161,H,7.387,2.292,7.232
162,H,7.282,2.25,7.333
163,O,4.144,3.268,8.464
164,H,4.093,3.2,8.508
165,H,4.231,3.23,8.453
166,O,3.122,6.387,11.504
167,H,3.036,6.398,11.545
168,H,3.143,6.294,11.518
169,O,1.884,4.266,6.487
170,H,1.794,4.278,6.516
171,H,1.936,4.269,6.567
172,O,5.054,2.338,8.991
173,H,5.122,2.4,8.967
174,H,4.993,2.34,8.917
175,O,3.793,2.525,4.922
176,H,3.723,2.528,4.857
177,H,3.832,2.612,4.919
178,O,4.962,0.383,4.964
179,H,4.963,0.479,4.969
180,H,4.938,0.364,4.874
181,O,1.604,7.373,8.707
182,H,1.544,7.415,8.646
183,H,1.686,7.363,8.658
184,O,0.822,6.494,10.158
185,H,0.739,6.451,10.179
186,H,0.886,6.423,10.16
187,O,5.926,2.21,5.169
188,H,5.959,2.298,5.149
189,H,5.925,2.166,5.084
190,O,6.752,7.565,8.933
191,H,6.846,7.552,8.945
192,H,6.717,7.571,9.022
193,O,2.843,5.922,6.492
194,H,2.91,5.961,6.549
195,H,2.838,5.831,6.52
196,O,4.378,3.113,6.445
197,H,4.335,3.194,6.418
198,H,4.342,3.094,6.531
199,O,7.955,5.451,6.782
200,H,7.998,5.365,6.788
201,H,7.938,5.475,6.873
202,O,4.544,5.359,5.656
203,H,4.503,5.301,5.72
204,H,4.625,5.314,5.631
205,O,8.341,3.626,5.943
206,H,8.285,3.564,5.896
207,H,8.402,3.572,5.991
208,O,7.17,7.332,6.297
209,H,7.149,7.361,6.386
210,H,7.23,7.398,6.264
211,O,2.161,0.327,11.047
212,H,2.176,0.417,11.017
213,H,2.241,0.28,11.024
214,O,7.226,5.981,9.204
215,H,7.305,6.021,9.167
216,H,7.154,6.015,9.151
217,O,7.884,0.41,5.255
218,H,7.813,0.354,5.224
219,H,7.963,0.359,5.239
220,O,4.809,3.838,8.901
221,H,4.87,3.796,8.962
222,H,4.859,3.845,8.82
223,O,8.358,6.318,5.752
224,H,8.403,6.271,5.681
225,H,8.328,6.249,5.811
226,O,1.82,5.511,10.549
227,H,1.887,5.568,10.588
228,H,1.853,5.491,10.461
229,O,7.443,3.413,7.389
230,H,7.434,3.427,7.295
231,H,7.366,3.455,7.428
232,O,4.489,2.632,9.321
233,H,4.46,2.711,9.366
234,H,4.437,2.561,9.359
235,O,6.576,4.932,9.12
236,H,6.549,4.851,9.076
237,H,6.495,4.967,9.159
238,O,7.891,6.492,7.715
239,H,7.865,6.458,7.63
240,H,7.981,6.462,7.727
241,O,7.838,1.766,6.431
242,H,7.866,1.677,6.407
243,H,7.794,1.799,6.353
244,O,8.125,2.737,6.334
245,H,8.051,2.753,6.275
246,H,8.192,2.698,6.278
247,O,3.936,7.214,11.888
248,H,3.874,7.152,11.85
249,H,3.952,7.182,11.977
250,O,4.929,3.176,5.587
251,H,5.016,3.163,5.549
252,H,4.945,3.186,5.681
253,O,4.351,5.465,11.073
254,H,4.396,5.527,11.131
255,H,4.274,5.512,11.042
256,O,3.826,1.412,6.931
257,H,3.863,1.489,6.973
258,H,3.817,1.348,7.001
259,O,5.593,2.805,10.092
260,H,5.643,2.738,10.139
261,H,5.616,2.887,10.136
262,O,6.724,0.576,11.335
263,H,6.81,0.597,11.37
264,H,6.742,0.53,11.253
265,O,7.501,7.885,8.831
266,H,7.549,7.961,8.797
267,H,7.488,7.829,8.755
268,O,1.893,6.347,8.683
269,H,1.928,6.257,8.68
270,H,1.854,6.355,8.77
271,O,4.004,4.069,10.758
272,H,4.026,4.161,10.773
273,H,4.011,4.058,10.663
274,O,6.232,1.937,8.893
275,H,6.26,2.02,8.932
276,H,6.15,1.958,8.848
277,O,0.698,5.167,11.392
278,H,0.684,5.251,11.435
279,H,0.671,5.181,11.302
280,O,4.303,1.362,5.409
281,H,4.283,1.306,5.333
282,H,4.311,1.3,5.482
283,O,3.499,2.555,5.466
284,H,3.484,2.461,5.477
285,H,3.577,2.56,5.409
286,O,3.509,2.735,7.819
287,H,3.478,2.82,7.788
288,H,3.43,2.692,7.853
289,O,3.087,2.548,10.249
290,H,3.038,2.502,10.317
291,H,3.023,2.608,10.21
292,O,0.307,2.575,9.032
293,H,0.387,2.524,9.019
294,H,0.338,2.658,9.067
295,O,5.098,4.6,9.847
296,H,5.075,4.674,9.791
297,H,5.105,4.639,9.935
298,O,2.849,2.529,10.043
299,H,2.815,2.48,10.118
300,H,2.909,2.468,10
301,O,1.657,5.917,5.442
302,H,1.664,5.997,5.494
303,H,1.654,5.847,5.508
304,O,3.258,3.89,11.464
305,H,3.347,3.863,11.441
306,H,3.268,3.945,11.541
307,O,4.789,1.825,10.649
308,H,4.857,1.785,10.594
309,H,4.707,1.789,10.613
310,O,8.244,6.501,4.854
311,H,8.275,6.435,4.792
312,H,8.277,6.472,4.939
313,O,4.007,3.25,6.868
314,H,4.054,3.177,6.828
315,H,3.918,3.217,6.882
316,O,2.766,0.173,11.353
317,H,2.72,0.233,11.41
318,H,2.857,0.202,11.355
319,O,6.042,0.601,9.361
320,H,6.058,0.625,9.27
321,H,6.042,0.684,9.408
322,O,8.338,6.797,11.176
323,H,8.28,6.827,11.246
324,H,8.313,6.705,11.162
325,O,4.712,1.285,9.277
326,H,4.756,1.202,9.296
327,H,4.674,1.272,9.19
328,O,4.762,5.043,9.475
329,H,4.723,5.027,9.561
330,H,4.825,4.973,9.463
331,O,0.522,5.578,10.205
332,H,0.57,5.609,10.128
333,H,0.536,5.483,10.205
334,O,1.975,1.318,5.863
335,H,2.017,1.355,5.941
336,H,1.882,1.328,5.878
337,O,2.076,0.894,9.346
338,H,2.11,0.855,9.426
339,H,2.077,0.822,9.282
340,O,6.742,7.575,10.505
341,H,6.735,7.5,10.565
342,H,6.791,7.542,10.43
343,O,2.556,2.665,11.038
344,H,2.577,2.686,10.947
345,H,2.627,2.607,11.066
346,O,7.963,6.486,10.805
347,H,8.004,6.561,10.76
348,H,8.037,6.436,10.838
349,O,6.85,5.161,8.108
350,H,6.833,5.141,8.201
351,H,6.823,5.252,8.098
352,O,4.908,2.59,10.452
353,H,4.912,2.673,10.5
354,H,4.984,2.541,10.483
355,O,8.161,2.652,10.968
356,H,8.229,2.698,10.919
357,H,8.185,2.56,10.962
358,O,0.083,1.269,5.75
359,H,0.129,1.23,5.676
360,H,0.104,1.212,5.824
361,O,1.487,5.079,7.831
362,H,1.511,5.168,7.803
363,H,1.57,5.04,7.859
364,O,5.062,5.094,6.808
365,H,5.026,5.014,6.769
366,H,5,5.163,6.785
367,O,4.861,6.635,9.121
368,H,4.768,6.634,9.101
369,H,4.869,6.582,9.2
370,O,6.962,0.936,11.477
371,H,6.889,0.882,11.447
372,H,6.992,0.982,11.398
373,O,5.925,6.134,8.604
374,H,5.845,6.139,8.552
375,H,5.996,6.128,8.539
376,O,8.494,5.763,8.7
377,H,8.442,5.774,8.779
378,H,8.473,5.84,8.646
379,O,6.999,0.658,6.155
380,H,6.95,0.673,6.075
381,H,6.992,0.74,6.204
382,O,3.084,7.234,7.73
383,H,3.171,7.273,7.72
384,H,3.026,7.29,7.678
385,O,6.157,2.306,8.164
386,H,6.247,2.276,8.149
387,H,6.133,2.351,8.083
388,O,4.471,0.789,8.611
389,H,4.43,0.705,8.593
390,H,4.418,0.853,8.563
391,O,7.3,6.308,6.749
392,H,7.225,6.35,6.791
393,H,7.286,6.214,6.765
394,O,6.618,7.43,7.183
395,H,6.552,7.494,7.155
396,H,6.6,7.417,7.277
397,O,4.746,1.257,11.5
398,H,4.763,1.288,11.412
399,H,4.681,1.318,11.535
400,O,0.251,0.878,9.471
401,H,0.324,0.879,9.533
402,H,0.174,0.857,9.523
403,O,0.976,0.743,5.765
404,H,1.011,0.654,5.774
405,H,0.888,0.738,5.803
406,O,7.15,4.383,10.108
407,H,7.067,4.372,10.062
408,H,7.126,4.392,10.2
409,O,3.535,2.075,7.788
410,H,3.508,1.984,7.78
411,H,3.474,2.123,7.732
412,O,0.515,0.85,7.37
413,H,0.572,0.797,7.426
414,H,0.538,0.94,7.391
415,O,1.719,1.744,10.047
416,H,1.703,1.807,10.118
417,H,1.632,1.707,10.029
418,O,2.862,0.881,10.738
419,H,2.917,0.875,10.66
420,H,2.818,0.966,10.731
421,O,6.358,7.903,10.502
422,H,6.317,7.971,10.449
423,H,6.416,7.856,10.441
424,O,5.799,6.596,6.354
425,H,5.842,6.547,6.424
426,H,5.855,6.586,6.278
427,O,0.336,1.109,11.271
428,H,0.298,1.18,11.22
429,H,0.302,1.122,11.36
430,O,1.56,2.29,9.839
431,H,1.578,2.196,9.828
432,H,1.617,2.332,9.775
433,O,5.263,7.276,6.423
434,H,5.339,7.335,6.417
435,H,5.23,7.289,6.512
436,O,5.425,2.496,6.289
437,H,5.442,2.425,6.227
438,H,5.465,2.573,6.248
439,O,1.809,6.681,4.843
440,H,1.892,6.637,4.829
441,H,1.749,6.611,4.871
442,O,0.458,0.025,10.386
443,H,0.369,0.046,10.413
444,H,0.472,0.076,10.306
445,O,4.194,2.997,6.881
446,H,4.269,2.938,6.876
447,H,4.188,3.021,6.973
448,O,7.836,7.334,8.153
449,H,7.876,7.316,8.238
450,H,7.781,7.258,8.135
451,O,6.095,6.681,8.264
452,H,6.083,6.765,8.308
453,H,6.006,6.652,8.243
454,O,4.082,5.144,7.772
455,H,4.171,5.178,7.78
456,H,4.07,5.09,7.85
457,O,1.245,6.646,5.284
458,H,1.225,6.625,5.376
459,H,1.34,6.649,5.281
460,O,3.651,5.168,8.191
461,H,3.587,5.192,8.259
462,H,3.67,5.249,8.146
463,O,3.534,6.587,9.568
464,H,3.526,6.667,9.515
465,H,3.502,6.613,9.654
466,O,0.867,6.339,7.531
467,H,0.921,6.296,7.465
468,H,0.81,6.269,7.564
469,O,3.415,3.507,8.904
470,H,3.348,3.464,8.852
471,H,3.377,3.593,8.926
472,O,1.604,1.814,9.625
473,H,1.513,1.84,9.612
474,H,1.628,1.768,9.545
475,O,1.137,1.394,10.901
476,H,1.076,1.441,10.845
477,H,1.171,1.323,10.846
478,O,0.091,3.876,5.549
479,H,0.078,3.783,5.562
480,H,0.186,3.886,5.542
481,O,0.54,0.373,11.393
482,H,0.501,0.43,11.327
483,H,0.577,0.3,11.342
484,O,1.173,4.378,10.131
485,H,1.177,4.352,10.039
486,H,1.142,4.3,10.176
487,O,4.14,0.129,5.681
488,H,4.128,0.117,5.775
489,H,4.133,0.041,5.644
490,O,7.678,0.734,6.791
491,H,7.738,0.767,6.725
492,H,7.729,0.733,6.872
493,O,1.775,4.631,7.947
494,H,1.71,4.577,7.992
495,H,1.827,4.568,7.896
496,O,4.973,7.08,5.967
497,H,5.056,7.127,5.959
498,H,4.989,7.016,6.036
499,O,1.247,7.008,5.604
500,H,1.235,7.097,5.638
501,H,1.191,7.005,5.527
502,O,4.352,3.073,7.184
503,H,4.306,2.993,7.161
504,H,4.433,3.042,7.227
505,O,5.206,0.606,7.26
506,H,5.203,0.527,7.314
507,H,5.215,0.678,7.323
508,O,0.992,3.287,9.237
509,H,1.062,3.245,9.187
510,H,1.021,3.377,9.247
511,O,0.313,5.511,6.654
512,H,0.233,5.488,6.701
513,H,0.366,5.431,6.658
514,O,4.845,6.233,5.468
515,H,4.818,6.217,5.378
516,H,4.86,6.327,5.473
517,O,2.212,5.482,8.776
518,H,2.295,5.48,8.822
519,H,2.178,5.392,8.785
520,O,2.653,4.748,9.34
521,H,2.728,4.806,9.323
522,H,2.601,4.753,9.26
523,O,6.094,6.938,7.882
524,H,6,6.955,7.875
525,H,6.117,6.973,7.968
526,O,2.714,4.264,7.004
527,H,2.718,4.21,6.925
528,H,2.675,4.346,6.974
529,O,1.212,6.992,6.18
530,H,1.149,7.001,6.252
531,H,1.195,7.067,6.124
532,O,8.222,4.04,7.029
533,H,8.17,4.028,7.108
534,H,8.174,4.105,6.978
535,O,7.111,5.284,7.601
536,H,7.198,5.317,7.62
537,H,7.085,5.329,7.52
538,O,1.625,3.023,8.72
539,H,1.607,2.931,8.699
540,H,1.72,3.032,8.708
541,O,6.579,1.472,6.106
542,H,6.664,1.513,6.121
543,H,6.516,1.543,6.116
544,O,8.019,5.142,11.029
545,H,8.081,5.072,11.011
546,H,8.057,5.188,11.104
547,O,6.63,2.381,8.789
548,H,6.562,2.422,8.736
549,H,6.612,2.287,8.782
550,O,2.115,2.411,9.57
551,H,2.194,2.413,9.625
552,H,2.075,2.496,9.582
553,O,4.158,2.63,6.933
554,H,4.212,2.608,6.857
555,H,4.089,2.687,6.898
556,O,5.797,5.305,9.344
557,H,5.785,5.277,9.254
558,H,5.776,5.228,9.397
559,O,6.456,1.483,6.585
560,H,6.418,1.457,6.668
561,H,6.486,1.402,6.545
562,O,2.002,5.079,6.791
563,H,1.967,5.151,6.738
564,H,2.086,5.111,6.822
565,O,1.596,4.768,7.693
566,H,1.647,4.697,7.654
567,H,1.644,4.792,7.772
568,O,6.31,7.084,10.512
569,H,6.316,7.157,10.45
570,H,6.374,7.021,10.48
571,O,5.839,7.509,9.636
572,H,5.872,7.547,9.555
573,H,5.864,7.571,9.704
574,O,7.844,2.088,6.3
575,H,7.791,2.138,6.363
576,H,7.779,2.045,6.244
577,O,5.437,0.52,10.592
578,H,5.45,0.464,10.669
579,H,5.48,0.473,10.521
580,O,0.184,4.822,9.75
581,H,0.22,4.891,9.695
582,H,0.108,4.861,9.793
583,O,5.103,5.494,10.784
584,H,5.166,5.487,10.855
585,H,5.03,5.438,10.811
586,O,2.205,4.086,7.995
587,H,2.16,4.017,8.044
588,H,2.15,4.1,7.918
589,O,3.916,3.049,6.575
590,H,3.863,3.001,6.639
591,H,3.867,3.041,6.493
592,O,7.777,5.438,5.491
593,H,7.86,5.454,5.536
594,H,7.71,5.469,5.552
595,O,6.603,2.375,9.516
596,H,6.671,2.355,9.579
597,H,6.637,2.342,9.432
598,O,5.557,4.162,10.944
599,H,5.49,4.162,10.875
600,H,5.572,4.254,10.963
601,O,7.286,4.675,6.692
602,H,7.211,4.725,6.658
603,H,7.33,4.735,6.752
604,O,5.214,0.385,9.971
605,H,5.307,0.382,9.996
606,H,5.167,0.395,10.053
607,O,4.545,5.917,6.82
608,H,4.615,5.861,6.786
609,H,4.468,5.86,6.82
610,O,1.315,1.007,8.288
611,H,1.309,1.056,8.37
612,H,1.273,1.064,8.224
613,O,2.328,7.337,7.862
614,H,2.369,7.421,7.84
615,H,2.402,7.278,7.878
616,O,2.327,4.412,11.654
617,H,2.254,4.429,11.713
618,H,2.297,4.44,11.568
619,O,4.788,1.592,11.131
620,H,4.747,1.678,11.122
621,H,4.822,1.59,11.221
622,O,8.215,3.105,5.142
623,H,8.182,3.019,5.169
624,H,8.289,3.122,5.202
625,O,3.332,7.887,11.28
626,H,3.241,7.889,11.31
627,H,3.371,7.815,11.329
628,O,0.365,6.009,10.226
629,H,0.439,6.031,10.17
630,H,0.363,6.08,10.291
631,O,7.604,0.687,5.229
632,H,7.553,0.755,5.186
633,H,7.643,0.637,5.158
634,O,4.036,1.396,8.133
635,H,4.025,1.301,8.137
636,H,4.045,1.422,8.225
637,O,2.557,0.634,9.884
638,H,2.626,0.572,9.907
639,H,2.479,0.601,9.928
640,O,2.111,5.683,9.642
641,H,2.083,5.646,9.559
642,H,2.03,5.709,9.686
643,O,1.787,7.346,6.748
644,H,1.78,7.259,6.709
645,H,1.876,7.375,6.727
646,O,2.339,4.759,11.664
647,H,2.392,4.779,11.742
648,H,2.314,4.667,11.676
649,O,5.086,0.713,8.45
650,H,5.126,0.631,8.42
651,H,5.018,0.686,8.511
652,O,4.051,7.803,10.851
653,H,4.108,7.871,10.814
654,H,3.984,7.852,10.899
655,O,8.191,7.138,5.63
656,H,8.142,7.094,5.56
657,H,8.28,7.104,5.621
658,O,4.06,3.815,10.829
659,H,4.062,3.909,10.813
660,H,3.968,3.796,10.848
661,O,7.954,2.036,10.265
662,H,7.872,2.059,10.309
663,H,8.022,2.068,10.325
664,O,6.355,7.532,9.997
665,H,6.376,7.539,9.904
666,H,6.44,7.52,10.04
667,O,6.469,6.717,9.197
668,H,6.426,6.715,9.111
669,H,6.472,6.625,9.224
670,O,8.181,6.642,8.277
671,H,8.154,6.713,8.334
672,H,8.148,6.667,8.19
673,O,3.533,2.084,10.524
674,H,3.462,2.063,10.463
675,H,3.544,2.004,10.576
676,O,3.061,4.725,6.808
677,H,3.1,4.642,6.836
678,H,3.063,4.78,6.887
679,O,5.094,0.129,7.338
680,H,5.112,0.075,7.414
681,H,4.999,0.141,7.339
682,O,1.89,2.88,11.134
683,H,1.872,2.819,11.062
684,H,1.985,2.891,11.132
685,O,6.823,2.625,10.878
686,H,6.76,2.58,10.821
687,H,6.889,2.659,10.817
688,O,6.548,7.825,7.787
689,H,6.633,7.809,7.829
690,H,6.488,7.766,7.833
691,O,0.584,4.86,8.934
692,H,0.59,4.796,8.863
693,H,0.62,4.94,8.896
694,O,1.91,1.656,5.774
695,H,1.965,1.619,5.706
696,H,1.96,1.644,5.855
697,O,1.016,2.547,10.125
698,H,0.944,2.486,10.139
699,H,1.08,2.498,10.073
700,O,7.552,5.831,8.112
701,H,7.475,5.788,8.074
702,H,7.567,5.907,8.056
703,O,0.708,3.137,8.831
704,H,0.668,3.172,8.91
705,H,0.72,3.044,8.85
706,O,3.245,5.625,9.119
707,H,3.237,5.707,9.167
708,H,3.258,5.653,9.028
709,O,3.757,3.085,11.081
710,H,3.721,3.128,11.003
711,H,3.845,3.121,11.09
712,O,5.031,1.383,8.976
713,H,5.053,1.335,9.056
714,H,4.936,1.375,8.968
715,O,5.784,0.261,11.248
716,H,5.806,0.187,11.192
717,H,5.78,0.224,11.336
718,O,7.912,1.648,6.94
719,H,7.864,1.588,6.884
720,H,7.86,1.653,7.02
721,O,7.858,7.259,11.406
722,H,7.772,7.286,11.374
723,H,7.916,7.269,11.33
724,O,1.547,7.186,10.223
725,H,1.604,7.19,10.147
726,H,1.48,7.253,10.207
727,O,5.552,6.805,9.308
728,H,5.638,6.762,9.303
729,H,5.571,6.898,9.293
730,O,7.847,0.531,10.501
731,H,7.905,0.602,10.527
732,H,7.764,0.574,10.481
733,O,0.411,1.684,9.26
734,H,0.403,1.666,9.353
735,H,0.346,1.629,9.218
736,O,3.181,6.533,4.277
737,H,3.206,6.596,4.209
738,H,3.186,6.448,4.233
739,O,0.455,1.932,4.957
740,H,0.409,1.866,5.009
741,H,0.414,1.928,4.87
742,O,3.351,4.878,8.399
743,H,3.366,4.799,8.347
744,H,3.399,4.862,8.48
745,O,0.754,0.316,5.143
746,H,0.767,0.324,5.238
747,H,0.799,0.235,5.119
748,O,2.663,2.163,4.622
749,H,2.634,2.254,4.613
750,H,2.614,2.129,4.696
751,O,8.491,6.561,9.899
752,H,8.406,6.529,9.87
753,H,8.553,6.493,9.872
754,O,1.119,2.228,11.121
755,H,1.194,2.17,11.134
756,H,1.153,2.316,11.137
757,O,0.326,3.651,9.757
758,H,0.29,3.739,9.765
759,H,0.421,3.663,9.76
760,O,3.343,4.908,8.679
761,H,3.406,4.93,8.747
762,H,3.316,4.992,8.642
763,O,8.218,5.913,10.225
764,H,8.285,5.969,10.264
765,H,8.267,5.837,10.193
766,O,5.611,0.707,6.754
767,H,5.533,0.656,6.774
768,H,5.67,0.644,6.712
769,O,7.091,4.345,9.093
770,H,7.107,4.328,9.185
771,H,7.121,4.266,9.048
772,O,6.55,6.277,9.15
773,H,6.591,6.275,9.064
774,H,6.594,6.206,9.198
775,O,1.974,0.251,11.556
776,H,1.941,0.323,11.61
777,H,1.918,0.176,11.578
778,O,0.143,2.498,5.025
779,H,0.19,2.525,5.104
780,H,0.067,2.45,5.057
781,O,7.042,4.674,8.38
782,H,7.025,4.759,8.339
783,H,7.126,4.646,8.343
784,O,2.294,2.668,7.348
785,H,2.24,2.746,7.344
786,H,2.382,2.699,7.327
787,O,6.91,4.422,6.972
788,H,6.991,4.451,6.929
789,H,6.841,4.464,6.922
790,O,2.875,1.873,6.482
791,H,2.805,1.833,6.43
792,H,2.894,1.808,6.55
793,O,6.427,2.063,10.204
794,H,6.348,2.01,10.189
795,H,6.408,2.146,10.161
796,O,3.536,5.898,6.371
797,H,3.513,5.93,6.283
798,H,3.607,5.835,6.356
799,O,4.031,5.077,5.107
800,H,4.071,5.045,5.188
801,H,4.086,5.151,5.081
802,O,1.187,0.981,7.049
803,H,1.094,1.005,7.04
804,H,1.186,0.9,7.1
805,O,5.299,7.19,7.688
806,H,5.235,7.208,7.619
807,H,5.247,7.177,7.767
808,O,0.859,2.312,6.68
809,H,0.886,2.388,6.628
810,H,0.851,2.345,6.769
811,O,0.052,4.286,5.461
812,H,0.042,4.208,5.516
813,H,0.095,4.35,5.519
814,O,3.011,1.117,11.701
815,H,3.056,1.094,11.782
816,H,2.939,1.054,11.694
817,O,7.65,7.419,11.631
818,H,7.714,7.484,11.601
819,H,7.694,7.335,11.619
820,O,6.643,4.492,10.059
821,H,6.587,4.548,10.006
822,H,6.645,4.408,10.012
823,O,5.389,6.88,7.607
824,H,5.36,6.97,7.623
825,H,5.322,6.826,7.649
826,O,3.986,0.216,11.005
827,H,3.94,0.279,10.949
828,H,4.069,0.2,10.959
829,O,5.775,3.408,11.411
830,H,5.789,3.458,11.491
831,H,5.858,3.363,11.396
832,O,4.953,4.052,11.051
833,H,4.984,4.037,10.961
834,H,5.023,4.018,11.106
835,O,3.806,0.931,4.971
836,H,3.847,0.845,4.97
837,H,3.713,0.914,4.988
838,O,4.637,6.071,8.258
839,H,4.698,6.058,8.331
840,H,4.685,6.124,8.195
841,O,7.727,3.231,5.764
842,H,7.799,3.283,5.799
843,H,7.717,3.262,5.674
844,O,6.164,0.968,8.013
845,H,6.074,0.941,8.031
846,H,6.155,1.045,7.957
847,O,0.224,0.331,8.249
848,H,0.181,0.375,8.176
849,H,0.234,0.24,8.219
850,O,0.41,3.576,10.139
851,H,0.335,3.61,10.187
852,H,0.379,3.563,10.05
853,O,1.426,3.056,8.917
854,H,1.472,3.053,9.001
855,H,1.496,3.055,8.851
856,O,2.774,3.281,10.358
857,H,2.791,3.21,10.296
858,H,2.68,3.274,10.378
859,O,2.923,6.515,11.728
860,H,3.007,6.558,11.743
861,H,2.857,6.576,11.761
862,O,2.009,0.053,9.219
863,H,2.104,0.055,9.218
864,H,1.982,0.144,9.204
865,O,1.108,0.349,5.406
866,H,1.064,0.276,5.449
867,H,1.118,0.321,5.315
868,O,5.787,5.133,10.883
869,H,5.881,5.12,10.894
870,H,5.756,5.158,10.97
871,O,4.136,2.386,7.834
872,H,4.054,2.357,7.873
873,H,4.198,2.387,7.906
